112,Алматы → Туркестан - 827 км, Газон , 170000 , тент (зад)
113,Алматы → Атырау - 2674 км, Бытовая химия , 480000 , тент (зад)
114,Алматы → Тараз - 490 км, Брусчаткий , 120000, тент (зад+бок)
115,Алматы → Караганда - 999 км, Контеинер , 0, конт (зад)
116,Талдыкорган → выгр: Бейнеу → Атырау, опоры, 0, тент (зад+бок)
117,Алматы → Туркестан - 827 км, газон в рулоне  кол машин:  , 150000 , тент (зад+бок)
118,Алматы → Уфа - 2596 км, перец, 0, рефр (зад)
119,Алматы → Екатеринбург - 2351 км, перец, 0, рефр (зад)
120,Алматы → Усть-Каменогорск - 1093 км, продукты, 280000 , крытая (зад)
121,Алматы → Туркестан - 827 км, бочки, 220000 , крытая (зад)
122,Алматы → НурСултан - 1214 км, Подложка под линолуем, 160 , любая (зад)
123,Алматинская область → Шымкент - 951 км, пенопласт, 150000 , крытая (зад)
124,Алматы → Жезказган - 1380 км, металл, 0, тент (бок)
125,Алматы → Шымкент - 681 км, Бытовая химия , 140000 , тент (зад) 
126,Алматы → Семей - 1121 км, Пластик, 300000 , любая (зад)
127,Алматы → НурСултан - 1214 км, продукты, 0, крытая (зад)
128,Алматы → Шымкент - 681 км, ТНП, 120000 , крытая (зад)
129,Алматы → Кокшетау - 1520 км, Хозтовары , 280000 , крытая (зад)
130,Алматы → Москва - 3958 км, бытовая химия, 1600000, тент (зад) 
131,Алматы → Тараз - 490 км, Кабель барабанах, 80000 , любая (верх)
132,Алматы → Актогай - 697 км, хоз товар, 100000 , крытая (зад)
133,Байсерке → Шымкент - 711 км, масло в бочках, 0, крытая (зад)
134,Алматы → Шымкент - 681 км, тнп в коробках , 140000 , тент(зад)
135,Алматы → Шымкент - 681 км, саженцы, 130000 , тент (бок+верх)
136,Алматы → Байконур - 1362 км, сэндвич панели ремни: , 200000 , тент (бок+верх)
137,Алматы → Москва - 3958 км, продукты, 1500000 , рефр (зад)
